Date,Time,Location,Subregion,Operator,FlightType,Cause,Aboard,Fatalities,FatalityRate
09/17/1908,17:18,"Fort Myer, Virginia",Northern America,Military - U.S. Army,military,mechanical,2.0,1.0,0.5
07/12/1912,06:30,"AtlantiCity, New Jersey",Northern America,Military - U.S. Navy,military,fire,5.0,5.0,1.0
08/06/1913,,"Victoria, British Columbia, Canada",Northern America,Private,civilian,unknown,1.0,1.0,1.0
09/09/1913,18:30,Over the North Sea,unknown,Military - German Navy,military,"weather, cfit",20.0,14.0,0.7
10/17/1913,10:30,"Near Johannisthal, Germany",Western Europe,Military - German Navy,military,mechanical,30.0,30.0,1.0
03/05/1915,01:00,"Tienen, Belgium",Western Europe,Military - German Navy,military,"shot_down, cfit",41.0,21.0,0.5121951219512195
09/03/1915,15:20,"Off Cuxhaven, Germany",Western Europe,Military - German Navy,military,fire,19.0,19.0,1.0
07/28/1916,,"Near Jambol, Bulgeria",Eastern Europe,Military - German Army,military,cfit,20.0,20.0,1.0
09/24/1916,01:00,"Billericay, England",Northern Europe,Military - German Navy,military,"shot_down, fire",22.0,22.0,1.0
10/01/1916,23:45,"Potters Bar, England",Northern Europe,Military - German Navy,military,"shot_down, fire",19.0,19.0,1.0
11/21/1916,,"Mainz, Germany",Western Europe,Military - German Army,military,weather,28.0,27.0,0.9642857142857143
11/28/1916,23:45,"Off West Hartlepool, England",Northern Europe,Military - German Navy,military,"shot_down, fire, cfit",20.0,20.0,1.0
03/04/1917,,"Near Gent, Belgium",Western Europe,Military - German Army,military,fire,20.0,20.0,1.0
03/30/1917,,Off Northern Germany,unknown,Military - German Navy,military,cfit,23.0,23.0,1.0
05/14/1917,05:15,"Near Texel Island, North Sea",unknown,Military - German Navy,military,"fire, cfit",21.0,21.0,1.0
06/14/1917,08:45,"Off Vlieland Island, North Sea",unknown,Military - German Navy,military,shot_down,24.0,24.0,1.0
08/21/1917,07:00,Off western Denmark,unknown,Military - German Navy,military,shot_down,18.0,18.0,1.0
10/20/1917,07:45,"Near Luneville, France",Western Europe,Military - German Navy,military,"shot_down, fire",18.0,18.0,1.0
04/07/1918,21:30,Over the Mediterranean,unknown,Military - German Navy,military,"fire, cfit",23.0,23.0,1.0
05/10/1918,,"Off Helgoland Island, Germany",Western Europe,Military - German Navy,military,shot_down,22.0,22.0,1.0
08/11/1918,10:00,"Ameland Island, North Sea",unknown,Military - German Navy,military,shot_down,19.0,19.0,1.0
12/16/1918,,"Elizabeth, New Jersey",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
05/25/1919,,"Cleveland, Ohio",Northern America,US Aerial Mail Service,commercial,fire,1.0,1.0,1.0
07/19/1919,,"Dix Run, Pennsylvania",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
10/02/1919,,"Newcastle, England",Northern Europe,Aircraft Transport and Travel,commercial,unknown,1.0,1.0,1.0
10/14/1919,,"Cantonsville, Maryland",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
10/20/1919,,English Channel,unknown,Aircraft Transport and Travel,commercial,unknown,,,
10/30/1919,,"Long Valley, New Jersey",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
03/10/1920,,"New Paris, Indiana",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
03/30/1920,,"Newark, New Jersey",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
04/10/1920,,"Newark, New Jersey",Northern America,US Aerial Mail Service,commercial,unknown,2.0,1.0,0.5
04/11/1920,,"Heller Field, New Jersey",Northern America,US Aerial Mail Service,commercial,unknown,2.0,1.0,0.5
05/12/1920,,"Oskaloosa, Iowa",Northern America,US Aerial Mail Service,commercial,unknown,2.0,1.0,0.5
06/06/1920,,"Cleveland, Ohio",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
08/16/1920,,"Bedford, England",Northern Europe,By Air,commercial,unknown,1.0,1.0,1.0
08/16/1920,,"College Park, Maryland",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
09/01/1920,,"Morristown, New Jersey",Northern America,US Aerial Mail Service,commercial,unknown,2.0,2.0,1.0
09/15/1920,,"Pemberville, Ohio",Northern America,US Aerial Mail Service,commercial,unknown,2.0,2.0,1.0
09/27/1920,,"Hillersburg, Pennsylvania",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
10/02/1920,,"Off Port Vendres, France",Western Europe,Latecoere Airlines,commercial,unknown,2.0,2.0,1.0
10/05/1920,,"Valencia, Spain",Southern Europe,Latecoere Airlines,commercial,unknown,2.0,2.0,1.0
10/15/1920,,"Batavia, Illinois",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
11/07/1920,,"Tie Siding, Wyoming",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
12/14/1920,,"Cricklewood, England",Northern Europe,Handley Page Transport,commercial,weather,8.0,4.0,0.5
12/24/1920,,"Barcelona, Spain",Southern Europe,Aeropostale,commercial,unknown,1.0,1.0,1.0
02/03/1921,,"Mendotta, Minnisota",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
02/09/1921,,"La Crosse, Wisconsin",Northern America,US Aerial Mail Service,commercial,unknown,3.0,3.0,1.0
02/15/1921,,Off Gibraltar,unknown,Aeropostale,commercial,unknown,2.0,2.0,1.0
02/22/1921,,"Elko, Nevada",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
04/06/1921,,"Point Cook, Australia",Australia and New Zealand,Military - Royal Australian Air Force,military,unknown,2.0,1.0,0.5
04/21/1921,,"Mitchel Field, NY",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
04/29/1921,,"Cleveland, Ohio",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
05/17/1921,,"Rock Springs, Wyoming",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
07/16/1921,,"San Francisco, California",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
08/14/1921,,"Toulouse, France",Western Europe,Aeropostale,commercial,unknown,2.0,2.0,1.0
08/24/1921,17:40,"River Humber, England",Northern Europe,Military - Royal Airship Works,military,"fire, mechanical",46.0,46.0,1.0217391304347827
09/06/1921,,"Paris, France",Western Europe,Franco-Roumaine,commercial,unknown,5.0,5.0,1.0
12/05/1921,,"Near Murchinson River, Australia",Australia and New Zealand,West Australian Airways,commercial,unknown,3.0,3.0,1.0
01/14/1922,,"Paris, France",Western Europe,Handley Page Transport,commercial,unknown,5.0,5.0,2.0
02/21/1922,,"Near Norfolk, Virginia",Northern America,Military - U.S. Army Air Service,military,mechanical,45.0,34.0,0.7555555555555555
04/07/1922,,"Grandvilliers, France",Western Europe,Daimler Airways / Grands Express Aeriens,commercial,"weather, collision",7.0,7.0,1.0
04/08/1922,,"Pao Ting Fou, China",Eastern Asia,,unknown,unknown,17.0,17.0,1.0
04/13/1922,,"Brooklands, England",Northern Europe,Vickers,commercial,unknown,3.0,3.0,1.0
10/01/1925,,"Nittany Mt, Ohio",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
06/03/1922,,"Off Folkestone, Kent, England",Northern Europe,Cie des Messageries Aeriennes,commercial,unknown,3.0,3.0,1.0
07/26/1922,,"Cadix, Spain",Southern Europe,Grands Express Aeriens,commercial,unknown,3.0,3.0,1.0
09/07/1922,,"Indianapolis, Indiana",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
10/02/1922,,"Venice, Italy",Southern Europe,,unknown,unknown,4.0,4.0,1.0
10/25/1922,,"Larache, Morocco",Northern Africa,Grands Express Aeriens,commercial,unknown,2.0,2.0,1.0
12/03/1922,,"Fez, Morocco",Northern Africa,Grands Express Aeriens,commercial,unknown,1.0,1.0,1.0
01/10/1923,,"Ajaccio, France",Western Europe,Amee de l'Air,commercial,unknown,4.0,3.0,0.75
01/17/1923,,"Barcelona, Spain",Southern Europe,Grands Express Aeriens,commercial,unknown,1.0,1.0,1.0
01/18/1923,,"Cheyenne, Wyoming",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
02/26/1923,,"Meadville, Pennsylvania",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
05/14/1923,,"Monsures, France",Western Europe,Grands Express Aeriens,commercial,unknown,6.0,6.0,1.0
08/27/1923,,"Bucharest, Romania",Eastern Europe,Campagnie France Roumaine,commercial,unknown,2.0,2.0,1.0
09/07/1923,,"Colton, Ohio",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
09/14/1923,,"Berks, England",Northern Europe,Daimler Airways,commercial,unknown,6.0,6.0,1.0
11/18/1923,,Russia,Eastern Europe,CCCP,commercial,unknown,4.0,2.0,0.5
12/06/1923,,"Castalia, Ohio",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
12/23/1923,02:30,Over the Mediterranean Sea,unknown,Military - French Navy,military,"fuel, cfit",52.0,52.0,1.0
12/24/1923,,"Egbert, WY",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
03/07/1924,,"Grampian, Pennsylvania",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
04/24/1924,,Over the English Channel,unknown,KLM Royal Dutch Airlines,commercial,unknown,3.0,3.0,1.0
06/08/1924,,"Barranquilla, Colombia",South America,SCADTA,commercial,unknown,3.0,3.0,1.0
08/01/1924,,United States,Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
11/06/1924,,"Cabrerolles, France",Western Europe,Grands Express Aeriens,commercial,unknown,1.0,1.0,1.0
12/21/1924,,"Goshen, Indiana",Northern America,US Aerial Mail Service,commercial,unknown,1.0,1.0,1.0
12/24/1924,,"Purley, England",Northern Europe,Imperial Airways,commercial,fuel,8.0,8.0,1.0
03/22/1925,,"Near Tiflies, Georgia, USSR",Eastern Europe,Zakavia,commercial,unknown,5.0,5.0,1.0
04/25/1925,,"Alicante, Spain",Southern Europe,Grands Express Aeriens,commercial,unknown,4.0,4.0,1.0
05/25/1925,,"Alicante, Spain",Southern Europe,Lignes Aeriennes Latecoere,commercial,unknown,2.0,2.0,1.0
06/25/1925,,"Landrécies, France",Western Europe,KLM Royal Dutch Airlines,commercial,weather,4.0,4.0,1.0
06/26/1925,,"Alicante, Spain",Southern Europe,Grands Express Aeriens,commercial,unknown,2.0,2.0,1.0
07/20/1925,,"Rosas, Spain",Southern Europe,Lignes Aeriennes Latecoere,commercial,unknown,1.0,1.0,1.0
07/24/1925,,"Budapest, Hungary",Eastern Europe,CIDNA,commercial,unknown,1.0,1.0,1.0
09/03/1925,05:30,"Caldwell, Ohio",Northern America,Military - U.S. Navy,military,"mechanical, pilot_error",43.0,14.0,0.32558139534883723
09/07/1925,,"Toul, France",Western Europe,CIDNA,commercial,unknown,3.0,3.0,1.0
11/14/1925,,"Off Boulogne-sur-Mer, France",Western Europe,Air Union,commercial,unknown,2.0,2.0,1.0
