Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Cause,Human Review
7/30/2001,16:00,"Haines, Alaska",Air Taxi,,"Shagway, AK - Return",Piper PA-32-300,N39586,32-7840168,6.0,6.0,0.0,"The sightseeing plane impacted the side of a mountain in poor visibility. The pilot's continued flight into known adverse weather conditions, and his poor in-flight decision making. Factors associated with the accident were clouds and mountainous terrain. A finding is the pilot's use of FAA prohibited drugs.","weather, cfit","weather, cfit, pilot_error"
11/28/2004,9:55,"Montrose, Colorado",Glow Air/Air Castle - Charter,73,"Montrose, CO - South Bend, IN",Canadair CL-601-2A12 Challenger,N873G,3009,6.0,3.0,0.0,"While attempting to take off from R31, the aircraft skidded sideways off the runway and went through a perimeter fence, ripping the cockpit from the fuselage and bursting into flames. There was light snow falling with fog and reduced visibility at the time of the accident.  Also, the pilot chose to take off from a 7,500 ft. runway rather than wait for the 10,000 ft. runway to be plowed. The youngest son of NBC sports chairman Dick Ebersol and actress Susan Saint James killed. St. James had just exited the accident vehicle before it took off. The flightcrew's failure to ensure that the airplane's wings were free of ice or snow contamination that accumulated while the airplane was on the ground, which resulted in an attempted takeoff with upper wing contamination that induced the a subsequent stall and collision with the ground. A factor contributing to the accident was the pilots' lack of experience flying during winter weather conditions.","fire, mechanical, weather, pilot_error","fire, mechanical, weather, pilot_error"
6/20/1944,,"Porto Alegre, Brazil",Varig,,,Lockheed 10C Electra,PP-VAG,1008,10.0,10.0,0.0,Crashed into a river.,cfit,cfit
10/9/1963,,"Near Marseilles, France",Aeronaves de Panama,,"Marseilles, France - Dhah, Saudi Arabia",Douglas C-74,HP-385,13915,6.0,6.0,0.0,Crashed shortly after taking off with a cargo of 30 dairy cows.,unknown,unknown
6/5/1969,7:12,"North Bend, Oregon",Eureka Aero Inc. - Air Taxi,,,Cessna 337C,N2665S,,3.0,3.0,0.0,Collided with trees on approach. Improper IFR operation. Descended below minima for reasons unknown.,"collision, cfit, pilot_error","collision, cfit, pilot_error"
9/27/2003,18:57,"Gaspé, Quebec, Canada",Les Ailes de Gaspé Inc.,,Gaspé - Îles-de-la-Madeleine,Piper PA31-310,C-FARL,31306,3.0,3.0,0.0,"Cashed as it approached Gaspé in fog and low ceiling. The pilot descended to the minimum descent altitude (MDA) without being established on the localizer track, thereby placing himself in a precarious situation with respect to the approach and to obstruction clearance. On an instrument approach, the pilot continued his descent below the MDA without having the visual references required to continue the landing, and he was a victim of CFIT (controlled flight into terrain).","weather, cfit","weather, cfit"
6/26/1988,14:45,"Habsheim, France",Air France,296Q,Basel - Basel,Airbus A320-111,F-GFKC,9,136.0,3.0,0.0,"The plane was scheduled to perform a series of fly-bys at an air show. The plane was to descend to 100 ft. altitude with landing gear and flaps extended. The automatigo-around protection (Alpha Floor Function) was inhibited for the maneuver. During the maneuver, the plane descended thru 100 ft. to an altitude of 30 feet and hit trees at the end of the runway. The aircraft was totally destroyed by the successive impacts and violent fire which followed. The pilot allowed the aircraft to descend through 100 ft. at slow speed and maximum angle of attack and was late in applying go-around power. Unfamiliarity of the crew with the landing field and lack of planning for the flyby.","fire, mechanical, cfit","fire, cfit, pilot_error"
9/24/1916,1:00,"Billericay, England",Military - German Navy,,,Zeppelin L-32 (airship),,,22.0,22.0,0.0,Shot down by British aircraft crashing in flames.,"shot_down, fire","shot_down, fire"
8/13/2006,20:15,"Near Piacenza, Italy",Air Algerie,2208,"Algiers, Algeria - Frankfurt, Germany",Lockheed L-100-30 Hercules,7T-VHG,4880,3.0,3.0,0.0,The cargo plane crashed while en route in the vicinity of thunderstorms.,unknown,weather
7/19/1919,,"Dix Run, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,82,,1.0,1.0,0.0,,unknown,unknown
9/23/1989,20:35,"Ujani Dam, India",Vayudoot,,Pune - Hyderabad,Dornier Do-288-201,VT-EJF,8052,11.0,11.0,0.0,Exploded in mid-air and crashed during a thunderstorm and heavy rain.,"fire, weather","fire, weather"
12/24/1968,4:30,"Prudhoe Bay, Alaska",Interior Airways,,Fairbanks - Prudhoe Bay,Lockheed L-100 Hercules,N760AL,4229,4.0,2.0,0.0,The cargo plane crashed after a go-around was attempted in a snowstorm. Pilot in command continued VFR flight into adverse weather conditions and delayed in initiating go around. Weather conditions - down and up drafts.,weather,weather
9/3/1991,,"Long Seridan, Malaysia",Airtech Rajawaldi Udara,,Bario - Marudi,Shorts SC-7 Skyvan 3-100,9M-AZB,SH-1975,20.0,14.0,0.0,Crashed into the jungle after double engine failure. Both engines didn't develop full power and were feathered on impact.,"mechanical, cfit","mechanical, cfit"
4/10/1992,,"Off Orchid Island, Taiwan",Taiwan Airlines,,,Britten Norman BN-2A-26 Trislander,B-11116,2007,10.0,7.0,0.0,"Crashed into the sea after losing the No. 1 engine after reaching 1,500 feet after takeoff.","mechanical, cfit","mechanical, cfit"
1/14/2001,17:29,"Near Lake Point, Utah",Skydive Salt Lake - Charter,,Skydiving,Beech A90 King Air,N616F,LJ-165,9.0,9.0,0.0,"Crashed into the Great Salt Lake with skydivers during a final approach to Tooele. The pilot's exercise of poor judgment and his failure to maintain a safe altitude/clearance above the water. Contributing factors were the weather conditions that included low ceiling and visibility obscured by snow and mist, an inadequately equipped airplane for flying in instrument meteorological conditions, and the pilot's overconfidence in his personal ability in that he had reportedly done this on two previous occasions.","mechanical, weather, cfit, pilot_error","weather, cfit, pilot_error"
8/5/1994,8:50,"Near Boda, Russia",Military - Russian Air Force,,Dzhida - Boda,Antonov AN-12,,,47.0,47.0,0.0,Crashed and burned while attempting to land with an engine fire in poor visibility and heavy rain.,"fire, mechanical, weather","fire, mechanical, weather"
10/30/1954,23:00,Off the coast of Maryland,Military - U. S. Navy,,"New Jersey - Azores - Port Lyautey, Moroco",Lockheed R-7V1,128441,,42.0,42.0,0.0,Disappeared 350 miles off the Maryland coast.,undetermined,undetermined
1/10/1933,,Algiers,Aeropostale,,,CAMS 53,F-AISV,,1.0,1.0,0.0,,unknown,unknown
1/27/2005,8:10,"Lasi, Hungary",Farnair Hungary,,Bucharest -Lasi,Let 410UVP-E4,HA-LAR,871923,2.0,2.0,0.0,The cargo plane was attempting to land in a snowstorm when it turned left and descended until it crashed a mile from the airport.,weather,weather
1/18/1950,,"Albacete, Spain",Ejercito del Aire,,,Junkers JU-52/3m,,,16.0,16.0,0.0,The military plane crashed on the southeast coast of Spain.,unknown,unknown
5/22/1931,,"Wampit, Australia",Guiena Airways,,,Junkers W-34,VH-UNR,,1.0,1.0,0.0,,unknown,unknown
8/18/1974,,"Near La Paz, Bolivia",Military - U.S. Air Force,,"Howard AFB, Panama - La Paz, Bolivia",Lockheed C-141A,65-0274,300-6126,7.0,7.0,0.0,Navigational error. Crew started their descent prematurely and struck a mountain.,"cfit, pilot_error","cfit, pilot_error"
12/28/1947,12:00,"Leon, Mexico",Servicio Aéreo Panini,,Dorango - Leon - Mexico City,Douglas DC-2-172,XA-GEE,1408,9.0,5.0,3.0,Crashed near the Leon publisquare and destroyed 3 homes. Lost an engine while taking off and was attempting to return to the airport.,mechanical,mechanical
6/4/2007,16:04,"Near Milwaukee, Wisconson",University of Michigan Health System,,"Milwaukee, WI - Detroit, MI",Cessna 550 Citation II,N550BP,550-0246,6.0,6.0,0.0,"The pilot issued a distress signal within five minutes of taking off from General Mitchell International Airport in Milwaukee, requesting an emergency return to the airport. The plane then crashed into Lake Michigan two miles off shore. The plane was carrying an organ transplant team. The pilot reported to ATC he had runaway trim prior to the accident.",cfit,"cfit, mechanical"
